CID_1,CID_2,MCC,TC,combo,pair_label,Pearson,Spearman,Kendall,Pearson_class,Spearman_class,Kendall_class,DACS,random_number
CIDs00148195,CIDs11717001,-0.0017,0.247967,CIDs00148195_CIDs11717001,0.0,0.4518924164100205,0.5714285714285715,0.4285714285714285,1.0,1.0,1.0,0.2479728273198496,0.7355930869573016
CIDs00148195,CIDs42611257,0.0676,0.282787,CIDs00148195_CIDs42611257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2907546171069343,0.05630769864008056
CIDs00148195,CIDs70685869,-0.0003,0.224066,CIDs00148195_CIDs70685869,0.0,-0.2952884024194875,-0.6,-0.4,-1.0,-1.0,-1.0,0.2240662008335929,0.7816066649553999
CIDs00148195,CIDs11656518,0.0648,0.235772,CIDs00148195_CIDs11656518,0.0,0.4733418270189594,0.4761904761904762,0.4999999999999999,1.0,1.0,1.0,0.2445147766168744,0.5896036468667778
CIDs00148195,CIDs11152667,-0.0022,0.206642,CIDs00148195_CIDs11152667,0.0,0.0622267926596258,0.0333333333333333,0.0555555555555555,1.0,1.0,1.0,0.2066537107433592,0.6052671129882987
CIDs00148195,CIDs25194865,-0.0007,0.239819,CIDs00148195_CIDs25194865,0.0,0.3958166878792449,0.2166666666666666,0.1666666666666666,1.0,1.0,1.0,0.2398200216016169,0.8053204320829593
CIDs00148195,CIDs17754438,-0.0031,0.226054,CIDs00148195_CIDs17754438,0.0,0.207480717923611,0.3571428571428572,0.3333333333333333,1.0,1.0,1.0,0.2260752549838217,0.8962065006385045
CIDs00148195,CIDs11494412,0.0637,0.38191,CIDs00148195_CIDs11494412,0.0,-0.6902056839527171,-0.75,-0.5555555555555556,-1.0,-1.0,-1.0,0.3871859218773327,0.3296738432546813
CIDs00148195,CIDs11597571,-0.0021,0.251938,CIDs00148195_CIDs11597571,0.0,0.3751979417721239,0.4,0.3333333333333333,1.0,1.0,1.0,0.2519467520012909,0.4598886760670271
CIDs00148195,CIDs24998177,-0.0003,0.229249,CIDs00148195_CIDs24998177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2292491962930296,0.9100971285128968
CIDs00148195,CIDs25262792,-0.0014,0.232,CIDs00148195_CIDs25262792,0.0,-0.3114834450091135,-0.3333333333333333,-0.2222222222222222,-1.0,-1.0,-1.0,0.2320042240994762,0.7014941433374386
CIDs00148195,CIDs00148191,-0.0007,0.171756,CIDs00148195_CIDs00148191,0.0,-0.0492112958272289,-0.1666666666666666,-0.1111111111111111,-1.0,-1.0,-1.0,0.1717574264362388,0.656863559187364
CIDs00148195,CIDs06442177,0.0527,0.172414,CIDs00148195_CIDs06442177,0.0,0.10791284310402,-0.0357142857142857,-0.1428571428571428,1.0,-1.0,-1.0,0.1802883174140798,0.7374175080205375
CIDs00148195,CIDs45375953,0.025,0.172794,CIDs00148195_CIDs45375953,0.0,0.2493550672906653,0.3833333333333333,0.3333333333333333,1.0,1.0,1.0,0.1745931454439148,0.557315829647742
CIDs00148195,CIDs11520894,0.0813,0.161871,CIDs00148195_CIDs11520894,0.0,0.1534334171534299,0.3333333333333333,0.2222222222222222,1.0,1.0,1.0,0.1811405825346711,0.778500772794335
CIDs00148195,CIDs11640390,0.0284,0.225,CIDs00148195_CIDs11640390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267852728904591,0.16061642835686973
CIDs00148195,CIDs45381890,-0.0005,0.316206,CIDs00148195_CIDs45381890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162063953116698,0.8843809489699617
CIDs00148195,CIDs56953069,-0.0005,0.315126,CIDs00148195_CIDs56953069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3151263966664805,0.143599026946732
CIDs00148195,CIDs16659841,-0.002,0.20614,CIDs00148195_CIDs16659841,0.0,0.3458489021113502,0.4333333333333333,0.3333333333333333,1.0,1.0,1.0,0.206149701915865,0.8607632359520333
CIDs00148195,CIDs11707110,0.0706,0.213793,CIDs00148195_CIDs11707110,0.0,0.9072410800171662,0.4857142857142858,0.3333333333333333,1.0,1.0,1.0,0.2251484107183526,0.6596374214193484
CIDs00148195,CIDs10127622,0.0509,0.256705,CIDs00148195_CIDs10127622,0.0,0.2249519279809556,0.0666666666666666,0.0555555555555555,1.0,1.0,1.0,0.2617026309095879,0.4846198191528248
CIDs00148195,CIDs16719221,-0.0014,0.197232,CIDs00148195_CIDs16719221,0.0,-0.1535205460518423,-0.261904761904762,-0.2142857142857142,-1.0,-1.0,-1.0,0.1972369687051593,0.29246366956237846
CIDs00148195,CIDs67161792,0.1101,0.280851,CIDs00148195_CIDs67161792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3016608927272476,0.7969052442270586
